,folder,no,sl0,sl1,sl2,dur,diff
20,서울대 최신기출 3,41,29.637,27.676,18.885,"[(0, 1990, 1990), (1990, 4503, 2513), (4503, 5310, 807), (5310, 6622, 1312), (6622, 8166, 1544), (8166, 12853, 4687), (12853, 16020, 3167), (16020, 19368, 3348), (19368, 23712, 4344), (23712, 24716, 1004), (24716, 29637, 4921), (29637, 31968, 2331), (31968, 34083, 2115), (34083, 35569, 1486), (35569, 40561, 4992), (40561, 43690, 3129), (43690, 47156, 3466), (47156, 51524, 4368), (51524, 52540, 1016), (52540, 57313, 4773), (57313, 58220, 907), (58220, 60918, 2698), (60918, 61840, 922), (61840, 65155, 3315), (65155, 66129, 974), (66129, 69142, 3013), (69142, 70057, 915), (70057, 76198, 6141)]",1.961
21,서울대 최신기출 3,42,29.327,27.174,23.746,"[(0, 2123, 2123), (2123, 6152, 4029), (6152, 10651, 4499), (10651, 11480, 829), (11480, 15538, 4058), (15538, 17661, 2123), (17661, 18384, 723), (18384, 21164, 2780), (21164, 23908, 2744), (23908, 24989, 1081), (24989, 29327, 4338), (29327, 33356, 4029), (33356, 38033, 4677), (38033, 38728, 695), (38728, 42562, 3834), (42562, 44595, 2033), (44595, 45379, 784), (45379, 48163, 2784), (48163, 50921, 2758), (50921, 52121, 1200), (52121, 56501, 4380), (56501, 57473, 972), (57473, 61356, 3883), (61356, 62368, 1012), (62368, 67044, 4676), (67044, 68096, 1052), (68096, 71933, 3837), (71933, 72957, 1024), (72957, 80247, 7290)]",2.153
22,서울대 최신기출 3,44,29.216,26.993,20.25,"[(0, 2011, 2011), (2011, 5407, 3396), (5407, 7717, 2310), (7717, 9647, 1930), (9647, 11039, 1392), (11039, 14186, 3147), (14186, 17384, 3198), (17384, 23340, 5956), (23340, 24442, 1102), (24442, 29216, 4774), (29216, 32648, 3432), (32648, 34966, 2318), (34966, 36933, 1967), (36933, 38364, 1431), (38364, 41198, 2834), (41198, 44221, 3023), (44221, 46732, 2511), (46732, 50340, 3608), (50340, 51421, 1081), (51421, 56209, 4788), (56209, 57108, 899), (57108, 60840, 3732), (60840, 61762, 922), (61762, 64917, 3155), (64917, 65933, 1016), (65933, 69425, 3492), (69425, 70396, 971), (70396, 76459, 6063)]",2.223
23,서울대 최신기출 3,45,30.719,27.802,25.174,"[(0, 2116, 2116), (2116, 5197, 3081), (5197, 8571, 3374), (8571, 12275, 3704), (12275, 15910, 3635), (15910, 20238, 4328), (20238, 25820, 5582), (25820, 26817, 997), (26817, 30719, 3902), (30719, 33767, 3048), (33767, 34483, 716), (34483, 36948, 2465), (36948, 40636, 3688), (40636, 44164, 3528), (44164, 48313, 4149), (48313, 53649, 5336), (53649, 54630, 981), (54630, 58521, 3891), (58521, 59419, 898), (59419, 63964, 4545), (63964, 64832, 868), (64832, 68805, 3973), (68805, 69779, 974), (69779, 74663, 4884), (74663, 75585, 922), (75585, 83695, 8110)]",2.917
24,서울대 최신기출 3,52,36.028,35.983,23.152,"[(0, 2028, 2028), (2028, 8989, 6961), (8989, 14599, 5610), (14599, 23178, 8579), (23178, 29964, 6786), (29964, 30898, 934), (30898, 36028, 5130), (36028, 43012, 6984), (43012, 49111, 6099), (49111, 58558, 9447), (58558, 65815, 7257), (65815, 66809, 994), (66809, 72011, 5202), (72011, 72926, 915), (72926, 76703, 3777), (76703, 77635, 932), (77635, 82265, 4630), (82265, 83187, 922), (83187, 87474, 4287), (87474, 88390, 916), (88390, 95163, 6773)]",0.045
25,서울대 최신기출 3,56,34.695,34.222,24.444,"[(0, 1981, 1981), (1981, 4385, 2404), (4385, 10616, 6231), (10616, 16305, 5689), (16305, 21242, 4937), (21242, 29710, 8468), (29710, 30675, 965), (30675, 34695, 4020), (34695, 40310, 5615), (40310, 49590, 9280), (49590, 54815, 5225), (54815, 63937, 9122), (63937, 64950, 1013), (64950, 68917, 3967), (68917, 69757, 840), (69757, 73882, 4125), (73882, 74803, 921), (74803, 80108, 5305), (80108, 81049, 941), (81049, 85040, 3991), (85040, 85957, 917), (85957, 93361, 7404)]",0.473
26,서울대 최신기출 3,57,43.616,38.751,28.888,"[(0, 1952, 1952), (1952, 10942, 8990), (10942, 20836, 9894), (20836, 29029, 8193), (29029, 38750, 9721), (38750, 39811, 1061), (39811, 43616, 3805), (43616, 52058, 8442), (52058, 60799, 8741), (60799, 68340, 7541), (68340, 77316, 8976), (77316, 78408, 1092), (78408, 82367, 3959), (82367, 83274, 907), (83274, 88886, 5612), (88886, 89873, 987), (89873, 95386, 5513), (95386, 96424, 1038), (96424, 101889, 5465), (101889, 102790, 901), (102790, 111255, 8465)]",4.865
27,서울대 최신기출 3,59,38.623,35.167,23.228,"[(0, 1863, 1863), (1863, 6592, 4729), (6592, 10978, 4386), (10978, 14862, 3884), (14862, 19374, 4512), (19374, 23963, 4589), (23963, 32922, 8959), (32922, 34020, 1098), (34020, 38623, 4603), (38623, 47358, 8735), (47358, 51269, 3911), (51269, 55585, 4316), (55585, 68078, 12493), (68078, 69160, 1082), (69160, 73790, 4630), (73790, 74709, 919), (74709, 78769, 4060), (78769, 79717, 948), (79717, 83849, 4132), (83849, 84846, 997), (84846, 89004, 4158), (89004, 90031, 1027), (90031, 97018, 6987)]",3.456
28,서울대 최신기출 3,60,37.057,37.146,25.931,"[(0, 1756, 1756), (1756, 10997, 9241), (10997, 17790, 6793), (17790, 22838, 5048), (22838, 31077, 8239), (31077, 32053, 976), (32053, 37057, 5004), (37057, 46613, 9556), (46613, 54011, 7398), (54011, 59242, 5231), (59242, 62767, 3525), (62767, 68016, 5249), (68016, 69066, 1050), (69066, 74203, 5137), (74203, 75020, 817), (75020, 78979, 3959), (78979, 79967, 988), (79967, 85119, 5152), (85119, 86035, 916), (86035, 90963, 4928), (90963, 91886, 923), (91886, 100134, 8248)]",0.089
29,서울대 최신기출 4,37,26.164,24.275,21.553,"[(0, 2051, 2051), (2051, 5653, 3602), (5653, 8577, 2924), (8577, 11400, 2823), (11400, 14706, 3306), (14706, 15311, 605), (15311, 16646, 1335), (16646, 21163, 4517), (21163, 22202, 1039), (22202, 26164, 3962), (26164, 29764, 3600), (29764, 32782, 3018), (32782, 35544, 2762), (35544, 39053, 3509), (39053, 40967, 1914), (40967, 45386, 4419), (45386, 46457, 1071), (46457, 50439, 3982), (50439, 51321, 882), (51321, 54863, 3542), (54863, 55731, 868), (55731, 59551, 3820), (59551, 60482, 931), (60482, 64556, 4074), (64556, 65453, 897), (65453, 71992, 6539)]",1.889
