,folder,no,sl0,sl1,sl2,dur,diff
20,Actual Test 03,56,37.331,33.609,22.63,"[(0, 2359, 2359), (2359, 6044, 3685), (6044, 9835, 3791), (9835, 10557, 722), (10557, 12533, 1976), (12533, 16373, 3840), (16373, 18635, 2262), (18635, 26964, 8329), (26964, 31815, 4851), (31815, 32856, 1041), (32856, 37331, 4475), (37331, 46484, 9153), (46484, 52593, 6109), (52593, 60792, 8199), (60792, 65650, 4858), (65650, 66767, 1117), (66767, 70940, 4173), (70940, 72005, 1065), (72005, 75607, 3602), (75607, 76458, 851), (76458, 80365, 3907), (80365, 81429, 1064), (81429, 85369, 3940), (85369, 86459, 1090), (86459, 93570, 7111)]",3.722
21,Actual Test 03,60,40.917,37.417,22.184,"[(0, 1919, 1919), (1919, 6577, 4658), (6577, 12948, 6371), (12948, 16616, 3668), (16616, 18639, 2023), (18639, 21303, 2664), (21303, 23983, 2680), (23983, 26025, 2042), (26025, 30201, 4176), (30201, 35316, 5115), (35316, 36313, 997), (36313, 40917, 4604), (40917, 45349, 4432), (45349, 47595, 2246), (47595, 51543, 3948), (51543, 59546, 8003), (59546, 63272, 3726), (63272, 67472, 4200), (67472, 72726, 5254), (72726, 73825, 1099), (73825, 78334, 4509), (78334, 79273, 939), (79273, 83311, 4038), (83311, 84206, 895), (84206, 87857, 3651), (87857, 88813, 956), (88813, 92603, 3790), (92603, 93580, 977), (93580, 100518, 6938)]",3.5
22,Actual Test 04,37,27.843,25.734,18.99,"[(0, 2107, 2107), (2107, 4857, 2750), (4857, 8693, 3836), (8693, 10686, 1993), (10686, 14524, 3838), (14524, 17569, 3045), (17569, 18296, 727), (18296, 22222, 3926), (22222, 23169, 947), (23169, 27843, 4674), (27843, 30593, 2750), (30593, 34430, 3837), (34430, 36422, 1992), (36422, 40261, 3839), (40261, 43305, 3044), (43305, 44033, 728), (44033, 47959, 3926), (47959, 48905, 946), (48905, 53577, 4672), (53577, 54436, 859), (54436, 57392, 2956), (57392, 58217, 825), (58217, 61406, 3189), (61406, 62373, 967), (62373, 65370, 2997), (65370, 66244, 874), (66244, 72567, 6323)]",2.109
23,Actual Test 04,41,25.873,23.821,19.112,"[(0, 2074, 2074), (2074, 4004, 1930), (4004, 5601, 1597), (5601, 8089, 2488), (8089, 12815, 4726), (12815, 14958, 2143), (14958, 16106, 1148), (16106, 20321, 4215), (20321, 21373, 1052), (21373, 25873, 4500), (25873, 27804, 1931), (27804, 29402, 1598), (29402, 31888, 2486), (31888, 36614, 4726), (36614, 38757, 2143), (38757, 39906, 1149), (39906, 44121, 4215), (44121, 45173, 1052), (45173, 49694, 4521), (49694, 50547, 853), (50547, 54196, 3649), (54196, 55039, 843), (55039, 57703, 2664), (57703, 58701, 998), (58701, 61824, 3123), (61824, 62712, 888), (62712, 68806, 6094)]",2.052
24,Actual Test 04,42,29.478,27.361,18.105,"[(0, 2120, 2120), (2120, 6284, 4164), (6284, 8367, 2083), (8367, 11798, 3431), (11798, 15158, 3360), (15158, 18008, 2850), (18008, 22755, 4747), (22755, 23698, 943), (23698, 29478, 5780), (29478, 33642, 4164), (33642, 35725, 2083), (35725, 39156, 3431), (39156, 42515, 3359), (42515, 45366, 2851), (45366, 50112, 4746), (50112, 51056, 944), (51056, 56839, 5783), (56839, 57718, 879), (57718, 60453, 2735), (60453, 61289, 836), (61289, 64012, 2723), (64012, 64970, 958), (64970, 67939, 2969), (67939, 68799, 860), (68799, 74944, 6145)]",2.117
25,Actual Test 04,44,25.508,23.407,18.402,"[(0, 2117, 2117), (2117, 3075, 958), (3075, 5199, 2124), (5199, 8800, 3601), (8800, 11430, 2630), (11430, 14142, 2712), (14142, 16436, 2294), (16436, 20323, 3887), (20323, 21260, 937), (21260, 25508, 4248), (25508, 26465, 957), (26465, 28589, 2124), (28589, 32191, 3602), (32191, 34821, 2630), (34821, 37532, 2711), (37532, 39826, 2294), (39826, 43714, 3888), (43714, 44651, 937), (44651, 48915, 4264), (48915, 49769, 854), (49769, 52322, 2553), (52322, 53225, 903), (53225, 56064, 2839), (56064, 57026, 962), (57026, 60093, 3067), (60093, 60974, 881), (60974, 67317, 6343)]",2.101
26,Actual Test 04,45,29.106,26.915,18.871,"[(0, 2193, 2193), (2193, 5235, 3042), (5235, 6214, 979), (6214, 7846, 1632), (7846, 8826, 980), (8826, 12635, 3809), (12635, 16349, 3714), (16349, 18899, 2550), (18899, 23120, 4221), (23120, 24190, 1070), (24190, 29106, 4916), (29106, 32148, 3042), (32148, 33127, 979), (33127, 34759, 1632), (34759, 35739, 980), (35739, 39548, 3809), (39548, 43262, 3714), (43262, 45812, 2550), (45812, 50033, 4221), (50033, 51103, 1070), (51103, 56021, 4918), (56021, 56911, 890), (56911, 59532, 2621), (59532, 60424, 892), (60424, 63793, 3369), (63793, 64809, 1016), (64809, 67513, 2704), (67513, 68408, 895), (68408, 74892, 6484)]",2.191
27,Actual Test 04,52,47.433,44.147,18.473,"[(0, 2141, 2141), (2141, 7369, 5228), (7369, 12015, 4646), (12015, 13518, 1503), (13518, 15157, 1639), (15157, 16277, 1120), (16277, 21156, 4879), (21156, 25454, 4298), (25454, 26323, 869), (26323, 30374, 4051), (30374, 34775, 4401), (34775, 39116, 4341), (39116, 42452, 3336), (42452, 43416, 964), (43416, 47433, 4017), (47433, 50558, 3125), (50558, 52691, 2133), (52691, 56810, 4119), (56810, 58423, 1613), (58423, 60157, 1734), (60157, 65512, 5355), (65512, 69723, 4211), (69723, 74451, 4728), (74451, 76480, 2029), (76480, 78954, 2474), (78954, 80991, 2037), (80991, 86574, 5583), (86574, 87545, 971), (87545, 91580, 4035), (91580, 92459, 879), (92459, 95704, 3245), (95704, 96514, 810), (96514, 99456, 2942), (99456, 100432, 976), (100432, 103334, 2902), (103334, 104207, 873), (104207, 110053, 5846)]",3.286
28,Actual Test 04,56,41.321,36.854,23.284,"[(0, 2226, 2226), (2226, 9649, 7423), (9649, 11093, 1444), (11093, 18253, 7160), (18253, 24669, 6416), (24669, 29018, 4349), (29018, 31739, 2721), (31739, 36141, 4402), (36141, 37099, 958), (37099, 41321, 4222), (41321, 47919, 6598), (47919, 49354, 1435), (49354, 56129, 6775), (56129, 59061, 2932), (59061, 61991, 2930), (61991, 66186, 4195), (66186, 68547, 2361), (68547, 72880, 4333), (72880, 73881, 1001), (73881, 78175, 4294), (78175, 79073, 898), (79073, 83190, 4117), (83190, 84062, 872), (84062, 88283, 4221), (88283, 89270, 987), (89270, 93290, 4020), (93290, 94174, 884), (94174, 101459, 7285)]",4.467
29,Actual Test 04,57,41.322,38.185,19.94,"[(0, 2241, 2241), (2241, 6086, 3845), (6086, 9005, 2919), (9005, 12080, 3075), (12080, 16685, 4605), (16685, 18581, 1896), (18581, 22622, 4041), (22622, 24845, 2223), (24845, 27679, 2834), (27679, 34270, 6591), (34270, 35255, 985), (35255, 41322, 6067), (41322, 45113, 3791), (45113, 50768, 5655), (50768, 55604, 4836), (55604, 57454, 1850), (57454, 61328, 3874), (61328, 63603, 2275), (63603, 66769, 3166), (66769, 72723, 5954), (72723, 73817, 1094), (73817, 79507, 5690), (79507, 80369, 862), (80369, 83505, 3136), (83505, 84367, 862), (84367, 87345, 2978), (87345, 88380, 1035), (88380, 91708, 3328), (91708, 92577, 869), (92577, 99447, 6870)]",3.137
30,Actual Test 04,59,50.138,50.346,20.096,"[(0, 2209, 2209), (2209, 8025, 5816), (8025, 13420, 5395), (13420, 17116, 3696), (17116, 20363, 3247), (20363, 22130, 1767), (22130, 25397, 3267), (25397, 27028, 1631), (27028, 29690, 2662), (29690, 32076, 2386), (32076, 34386, 2310), (34386, 37158, 2772), (37158, 43448, 6290), (43448, 44395, 947), (44395, 50138, 5743), (50138, 56476, 6338), (56476, 62349, 5873), (62349, 66014, 3665), (66014, 69681, 3667), (69681, 71418, 1737), (71418, 74891, 3473), (74891, 76603, 1712), (76603, 79456, 2853), (79456, 81881, 2425), (81881, 87106, 5225), (87106, 93829, 6723), (93829, 94821, 992), (94821, 100484, 5663), (100484, 101367, 883), (101367, 104382, 3015), (104382, 105241, 859), (105241, 108409, 3168), (108409, 109367, 958), (109367, 112610, 3243), (112610, 113485, 875), (113485, 120580, 7095)]",0.208
