,folder,no,sl0,sl1,sl2,dur,diff
30,4. 최신기출 TEST 4,37,26.34,24.047,20.952,"[(0, 2199, 2199), (2199, 5052, 2853), (5052, 7030, 1978), (7030, 12380, 5350), (12380, 14725, 2345), (14725, 19844, 5119), (19844, 20953, 1109), (20953, 26340, 5387), (26340, 29190, 2850), (29190, 31436, 2246), (31436, 36792, 5356), (36792, 39230, 2438), (39230, 44275, 5045), (44275, 45334, 1059), (45334, 50387, 5053), (50387, 51243, 856), (51243, 54778, 3535), (54778, 55715, 937), (55715, 59171, 3456), (59171, 60180, 1009), (60180, 63684, 3504), (63684, 64602, 918), (64602, 71339, 6737)]",2.293
31,4. 최신기출 TEST 4,41,27.963,25.354,21.34,"[(0, 2233, 2233), (2233, 4901, 2668), (4901, 7710, 2809), (7710, 11021, 3311), (11021, 13717, 2696), (13717, 17401, 3684), (17401, 21576, 4175), (21576, 22646, 1070), (22646, 27963, 5317), (27963, 30646, 2683), (30646, 33473, 2827), (33473, 36582, 3109), (36582, 39090, 2508), (39090, 42782, 3692), (42782, 47008, 4226), (47008, 48107, 1099), (48107, 53317, 5210), (53317, 54242, 925), (54242, 58100, 3858), (58100, 58935, 835), (58935, 62250, 3315), (62250, 63170, 920), (63170, 67061, 3891), (67061, 67963, 902), (67963, 74657, 6694)]",2.609
32,4. 최신기출 TEST 4,42,34.589,31.725,22.945,"[(0, 2130, 2130), (2130, 6129, 3999), (6129, 8852, 2723), (8852, 12672, 3820), (12672, 15653, 2981), (15653, 16572, 919), (16572, 19975, 3403), (19975, 23222, 3247), (23222, 28213, 4991), (28213, 29371, 1158), (29371, 34589, 5218), (34589, 38667, 4078), (38667, 41344, 2677), (41344, 45206, 3862), (45206, 47893, 2687), (47893, 51766, 3873), (51766, 55122, 3356), (55122, 59998, 4876), (59998, 61155, 1157), (61155, 66314, 5159), (66314, 67250, 936), (67250, 71577, 4327), (71577, 72546, 969), (72546, 75904, 3358), (75904, 76969, 1065), (76969, 81481, 4512), (81481, 82466, 985), (82466, 89259, 6793)]",2.864
33,4. 최신기출 TEST 4,44,27.292,25.669,23.42,"[(0, 2155, 2155), (2155, 4701, 2546), (4701, 7017, 2316), (7017, 11956, 4939), (11956, 13851, 1895), (13851, 16610, 2759), (16610, 17422, 812), (17422, 18541, 1119), (18541, 21963, 3422), (21963, 23122, 1159), (23122, 27292, 4170), (27292, 30159, 2867), (30159, 32278, 2119), (32278, 37322, 5044), (37322, 39216, 1894), (39216, 42240, 3024), (42240, 43038, 798), (43038, 44191, 1153), (44191, 47611, 3420), (47611, 48760, 1149), (48760, 52961, 4201), (52961, 53877, 916), (53877, 57824, 3947), (57824, 58796, 972), (58796, 63060, 4264), (63060, 64117, 1057), (64117, 68536, 4419), (68536, 69539, 1003), (69539, 76381, 6842)]",1.623
34,4. 최신기출 TEST 4,45,33.418,31.511,22.711,"[(0, 2221, 2221), (2221, 4922, 2701), (4922, 8641, 3719), (8641, 9448, 807), (9448, 12220, 2772), (12220, 15173, 2953), (15173, 16458, 1285), (16458, 21594, 5136), (21594, 25260, 3666), (25260, 28158, 2898), (28158, 29250, 1092), (29250, 33418, 4168), (33418, 36252, 2834), (36252, 39756, 3504), (39756, 40563, 807), (40563, 43330, 2767), (43330, 46257, 2927), (46257, 47517, 1260), (47517, 52878, 5361), (52878, 56671, 3793), (56671, 59575, 2904), (59575, 60692, 1117), (60692, 64929, 4237), (64929, 65783, 854), (65783, 69522, 3739), (69522, 70361, 839), (70361, 73994, 3633), (73994, 74996, 1002), (74996, 79545, 4549), (79545, 80426, 881), (80426, 87640, 7214)]",1.907
35,4. 최신기출 TEST 4,52,33.379,31.729,23.524,"[(0, 2107, 2107), (2107, 7204, 5097), (7204, 12138, 4934), (12138, 15828, 3690), (15828, 18347, 2519), (18347, 20470, 2123), (20470, 22229, 1759), (22229, 28244, 6015), (28244, 29358, 1114), (29358, 33379, 4021), (33379, 38812, 5433), (38812, 43555, 4743), (43555, 47117, 3562), (47117, 49681, 2564), (49681, 53655, 3974), (53655, 59972, 6317), (59972, 61086, 1114), (61086, 65108, 4022), (65108, 66009, 901), (66009, 70194, 4185), (70194, 71041, 847), (71041, 74977, 3936), (74977, 75943, 966), (75943, 80385, 4442), (80385, 81235, 850), (81235, 88632, 7397)]",1.65
36,4. 최신기출 TEST 4,56,42.037,40.18,24.858,"[(0, 2336, 2336), (2336, 8984, 6648), (8984, 14495, 5511), (14495, 21710, 7215), (21710, 25316, 3606), (25316, 31078, 5762), (31078, 36779, 5701), (36779, 37864, 1085), (37864, 42037, 4173), (42037, 48614, 6577), (48614, 54693, 6079), (54693, 65422, 10729), (65422, 71155, 5733), (71155, 76924, 5769), (76924, 78014, 1090), (78014, 82217, 4203), (82217, 83067, 850), (83067, 87622, 4555), (87622, 88540, 918), (88540, 92922, 4382), (92922, 93901, 979), (93901, 98419, 4518), (98419, 99367, 948), (99367, 107075, 7708)]",1.857
37,4. 최신기출 TEST 4,57,43.989,40.333,22.492,"[(0, 2154, 2154), (2154, 9390, 7236), (9390, 12524, 3134), (12524, 13411, 887), (13411, 16443, 3032), (16443, 20843, 4400), (20843, 26366, 5523), (26366, 30525, 4159), (30525, 36921, 6396), (36921, 37958, 1037), (37958, 43989, 6031), (43989, 57591, 13602), (57591, 61407, 3816), (61407, 62157, 750), (62157, 66628, 4471), (66628, 68708, 2080), (68708, 77188, 8480), (77188, 78372, 1184), (78372, 84322, 5950), (84322, 85249, 927), (85249, 88862, 3613), (88862, 89818, 956), (89818, 94260, 4442), (94260, 95280, 1020), (95280, 98406, 3126), (98406, 99378, 972), (99378, 106814, 7436)]",3.656
38,4. 최신기출 TEST 4,59,38.957,36.76,23.887,"[(0, 2155, 2155), (2155, 7672, 5517), (7672, 13263, 5591), (13263, 16894, 3631), (16894, 19819, 2925), (19819, 24258, 4439), (24258, 27071, 2813), (27071, 32927, 5856), (32927, 34060, 1133), (34060, 38957, 4897), (38957, 44094, 5137), (44094, 46390, 2296), (46390, 49546, 3156), (49546, 53184, 3638), (53184, 56207, 3023), (56207, 60632, 4425), (60632, 63368, 2736), (63368, 64571, 1203), (64571, 69560, 4989), (69560, 70759, 1199), (70759, 75717, 4958), (75717, 76672, 955), (76672, 80316, 3644), (80316, 81331, 1015), (81331, 85503, 4172), (85503, 86649, 1146), (86649, 91032, 4383), (91032, 92129, 1097), (92129, 99604, 7475)]",2.197
39,4. 최신기출 TEST 4,60,40.29,38.69,25.314,"[(0, 1975, 1975), (1975, 9876, 7901), (9876, 12324, 2448), (12324, 14689, 2365), (14689, 19010, 4321), (19010, 23078, 4068), (23078, 25954, 2876), (25954, 35174, 9220), (35174, 36163, 989), (36163, 40290, 4127), (40290, 45471, 5181), (45471, 48174, 2703), (48174, 50561, 2387), (50561, 57430, 6869), (57430, 61562, 4132), (61562, 64431, 2869), (64431, 73562, 9131), (73562, 74699, 1137), (74699, 78980, 4281), (78980, 79877, 897), (79877, 84995, 5118), (84995, 85858, 863), (85858, 91230, 5372), (91230, 92211, 981), (92211, 97334, 5123), (97334, 98188, 854), (98188, 104294, 6106)]",1.6
